name,group,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,ID
"TITLE: Using Interactive Visual Reasoning to Support Sense-Making: Implications for Design WORDS: new, users, use, design, visualizations, interactive, novel, volume, used, space",Using Interactive Visual Reasoning to Support Sense-Making: Implications for Design,10,8,3,4,2,7,6,5,1,9,27
"TITLE: Temporal Event Sequence Simplification WORDS: new, users, use, design, visualizations, interactive, novel, space, large, different",Temporal Event Sequence Simplification,1,2,9,5,6,3,10,8,7,4,28
"TITLE: Visual Analytics for Model Selection in Time Series Analysis WORDS: users, use, design, visualizations, interactive, different, study, technique, time, method",Visual Analytics for Model Selection in Time Series Analysis,6,8,4,7,1,2,10,3,9,5,29
"TITLE: TimeBench: A Data Model and Software Library for Visual Analytics of Time-Oriented Data WORDS: users, use, design, visualizations, interactive, used, different, study, technique, time",TimeBench: A Data Model and Software Library for Visual Analytics of Time-Oriented Data,1,2,10,3,5,8,6,7,9,4,30
"TITLE: MotionExplorer: Exploratory Search in Human Motion Capture Data Based on Hierarchical Aggregation WORDS: users, use, design, visualizations, interactive, new, used, space, large, different",MotionExplorer: Exploratory Search in Human Motion Capture Data Based on Hierarchical Aggregation,3,7,5,8,2,6,1,9,10,4,31
"TITLE: Supporting the Visual Analysis of Dynamic Networks by Clustering associated Temporal Attributes WORDS: users, use, design, visualizations, interactive, new, used, space, large, different",Supporting the Visual Analysis of Dynamic Networks by Clustering associated Temporal Attributes,9,8,7,6,3,10,2,5,1,4,32
"TITLE: LineUp: Visual Analysis of Multi-Attribute Rankings WORDS: users, use, design, visualizations, interactive, new, used, flow, tasks, space",LineUp: Visual Analysis of Multi-Attribute Rankings,5,7,8,3,1,2,6,4,10,9,33
"TITLE: A Model for Structure-Based Comparison of Many Categories in Small-Multiple Displays WORDS: new, users, use, design, visualizations, interactive, volume, used, novel, flow",A Model for Structure-Based Comparison of Many Categories in Small-Multiple Displays,9,3,10,1,8,2,6,5,4,7,34
"TITLE: Common Angle Plots as Perception-True Visualizations of Categorical Associations WORDS: users, use, design, visualizations, interactive, new, flow, tasks, used, different",Common Angle Plots as Perception-True Visualizations of Categorical Associations,2,1,10,9,4,3,7,6,8,5,35
"TITLE: What Makes a Visualization Memorable? WORDS: new, users, use, design, visualizations, interactive, novel, used, different, study",What Makes a Visualization Memorable?,8,7,10,6,3,4,2,5,9,1,36
"TITLE: Perception of Average Value in Multiclass Scatterplots WORDS: users, use, design, visualizations, interactive, different, study, technique, time, method",Perception of Average Value in Multiclass Scatterplots,7,1,2,6,9,3,4,10,8,5,37
