name,group,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19, ID
"data, visualization, visual, analysis, approach, paper, techniques, based, users, information, user, using, also, results, design, use, present, study, time, visualizations",D0,0.0697216762826,0.035671514772,0.0487340044919,0.0476398224691,0.0509787357868,0.0487047790903,0.0428686046018,0.042215092846,0.0517157344752,0.0377839458499,0.0485284144848,0.0525330134415,0.0493890525075,0.0659247583364,0.0531909394158,0.0575680505851,0.052700440209,0.0420482919437,0.0507539874081,0.0513291410026,0
"data, visualization, visual, analysis, approach, paper, techniques, based, users, information, user, using, tasks, system, new, volume, flow, different, method, space",D1,0.0569342430409,0.0452830485423,0.0647313656643,0.0493616641634,0.0448870497374,0.0469583079358,0.0590988711188,0.0478724261122,0.0554276199428,0.0555409139777,0.0412028094396,0.0404824368681,0.0518211262631,0.0487971741141,0.0564706545128,0.0622537704076,0.0434215654371,0.0472501516751,0.0442992313683,0.0379055696786,1
"data, visualization, visual, analysis, flow, approach, different, method, paper, techniques, based, users, information, user, using, also, results, design, use, present",D2,0.0489159848937,0.0621154433186,0.0567254517084,0.0426409058422,0.0515859642418,0.0517041159203,0.0599166228477,0.0486643336019,0.0495932879232,0.0437718935037,0.0645114715171,0.0443820316726,0.0511549782561,0.0430561994624,0.0390275720344,0.0633082357283,0.0562819138389,0.0297856640352,0.0539449760238,0.0389129536298,2
"data, visualization, visual, analysis, approach, flow, paper, techniques, based, users, information, user, using, different, method, framework, space, also, results, design",D3,0.0463881145748,0.052996648069,0.0607785046729,0.0529910831574,0.0523678950389,0.0256533636959,0.0404050474726,0.0569072751772,0.0536035030941,0.0568536436406,0.0597650160581,0.0416243563933,0.0559589417745,0.0466778786481,0.0630598023545,0.042386637907,0.0604560794056,0.0402273762439,0.0497060358868,0.0411927967346,3
"data, visualization, visual, analysis, approach, different, method, paper, techniques, based, users, information, user, using, also, space, flow, tasks, system, new",D4,0.0474834955152,0.0455912755258,0.0523625991513,0.047639780307,0.0448448760249,0.0556786295772,0.0477071657319,0.0484676103595,0.0330293010195,0.0616024554637,0.0537310454587,0.0491980580323,0.0458583727649,0.0506991572702,0.0639417351246,0.0530127824591,0.0571564534075,0.0449082375549,0.0564909609938,0.0405960082579,4
"data, visualization, visual, analysis, approach, paper, techniques, based, users, information, user, using, flow, large, also, results, design, use, present, study",D5,0.049523724725,0.0558914275912,0.0475574217976,0.0519508341458,0.051653406364,0.0485506340826,0.0560320536242,0.0632276261711,0.0370994897167,0.0488549138971,0.0516779489394,0.0499201584446,0.0470354154365,0.0676942152079,0.0513544686874,0.0455041286535,0.0417562218909,0.0430069956444,0.0430377902177,0.0486711247623,5
"data, visualization, visual, analysis, approach, paper, techniques, based, users, information, user, using, tasks, system, new, volume, results, design, use, present",D6,0.0499869131871,0.0467370683138,0.0517510657398,0.0363671547778,0.0459381077397,0.0477969325221,0.0496640920348,0.058937215385,0.0582107131374,0.0543996624248,0.0492913243825,0.0364119190916,0.0524994876928,0.0439786574129,0.0557864455186,0.0506276422869,0.0441965950515,0.0622426591977,0.0506977685308,0.0544785755725,6
"data, visualization, visual, analysis, approach, different, method, flow, paper, techniques, based, users, information, user, using, tasks, system, new, volume, also",D7,0.0568068030952,0.0526616920944,0.0620484242872,0.0574183275095,0.0311884470119,0.0485626859744,0.0770713211763,0.0528257095537,0.0472922431821,0.0417514468293,0.045255597726,0.0412154159859,0.0499960332393,0.0534898741237,0.0363036493512,0.0463705876887,0.0553615076668,0.045254980985,0.0587136192658,0.0404116332534,7
"data, visualization, visual, analysis, approach, paper, techniques, based, users, information, user, using, framework, also, flow, results, design, use, present, study",D8,0.0561473713706,0.0493226960587,0.0571658512396,0.0527333276907,0.037873579148,0.0554512270922,0.0512189961839,0.0662532016867,0.063128140479,0.061025882496,0.0392148692433,0.0494139818007,0.0409253911981,0.0523657305162,0.0432677067135,0.0563516249197,0.0355218188768,0.0413124409623,0.0435589828907,0.0477471794332,8
"data, visualization, visual, analysis, approach, paper, techniques, based, users, information, user, using, results, design, use, present, study, time, visualizations, interactive",D9,0.0394342559396,0.0413810771071,0.0616804847566,0.046779463262,0.0431193988936,0.0411802190144,0.0426430529861,0.0469278400924,0.0553049414613,0.0434385167301,0.0653221459648,0.0527487732518,0.04699485849,0.0561818515144,0.0540955928802,0.0520936045263,0.0635530359841,0.0463970838422,0.0449483733986,0.0557754299043,9
"data, visualization, visual, analysis, approach, paper, techniques, based, users, information, user, using, results, design, use, present, study, time, visualizations, interactive",D10,0.0533587670248,0.0527072409932,0.0422944345909,0.0356659688355,0.0375317049246,0.0633999114997,0.0503840679635,0.0435948155551,0.0387854940083,0.0607282184646,0.0538922312318,0.0526848324032,0.053955322821,0.0605005735207,0.0560629959269,0.0446000685734,0.0511424153116,0.042669326841,0.0524655611877,0.0535760483226,10
"data, visualization, visual, analysis, approach, paper, techniques, based, users, information, user, using, different, method, results, design, use, present, study, time",D11,0.0485893701171,0.0439221633594,0.0641868328722,0.0430138696307,0.068247647141,0.0470500558361,0.0590631399468,0.0515489981017,0.051877549376,0.0524633250132,0.0488903119687,0.0347372394531,0.0478165177032,0.0478076758942,0.0591444485767,0.0537522321643,0.0496044351749,0.0354623888067,0.0484138255638,0.0444079733003,11
