name,group,T0,T1,T2,T3,T4,T5,T6,T7,T8,T8,ID
"TITLE: Space-Time Visual Analytics of Eye-Tracking Data for Dynamic Stimuli WORDS: users, use, design, visualizations, interactive, volume, space, large, flow, tasks",Space-Time Visual Analytics of Eye-Tracking Data for Dynamic Stimuli,0.120236997759,0.114082022609,0.0985740231362,0.0926585150739,0.112632072756,0.0688525437696,0.109851474306,0.110064623051,0.072146659847,0.100901067692,17
"TITLE: An Extensible Framework for Provenance in Human Terrain Visual Analytics WORDS: users, use, design, visualizations, interactive, different, study, technique, time, method",An Extensible Framework for Provenance in Human Terrain Visual Analytics,0.107738553935,0.112186279361,0.106459704429,0.0963896188739,0.0864191383549,0.106070210583,0.0887369910696,0.0877853102707,0.0873394386318,0.120874754491,18
"TITLE: Visual Exploration of Big Spatio-Temporal Urban Data: A Study of New York City Taxi Trips WORDS: users, use, design, visualizations, interactive, new, used, different, study, technique",Visual Exploration of Big Spatio-Temporal Urban Data: A Study of New York City Taxi Trips,0.112116261342,0.119358422128,0.0848703629087,0.0959013450341,0.104332590389,0.10797365157,0.0784134844051,0.0915160386733,0.0975752892697,0.107942554281,19
"TITLE: Visual Traffic Jam Analysis Based on Trajectory Data WORDS: new, users, use, design, visualizations, interactive, novel, space, large, different",Visual Traffic Jam Analysis Based on Trajectory Data,0.132342693695,0.0876478565066,0.10977109408,0.0857372288219,0.0918675263525,0.089976350001,0.0976776631132,0.102891707228,0.102907997778,0.099179882424,20
"TITLE: Space Transformation for Understanding Group Movement WORDS: users, use, design, visualizations, interactive, new, different, study, technique, time",Space Transformation for Understanding Group Movement,0.111219331196,0.114279145195,0.103501800874,0.105323355335,0.0884929841791,0.0937686659498,0.0938862091851,0.102414640662,0.0832541729984,0.103859694426,21
"TITLE: Visual Analytics for Spatial Clustering: Using a Heuristic Approach for Guided Exploration WORDS: new, novel, users, use, design, visualizations, interactive, space, large, volume",Visual Analytics for Spatial Clustering: Using a Heuristic Approach for Guided Exploration,0.0759694545162,0.12756275877,0.0897563086235,0.0993709373391,0.104647195392,0.0786220327291,0.0961426731655,0.110540324066,0.126349770103,0.0910385452953,22
"TITLE: Supporting Awareness through Collaborative Brushing and Linking of Tabular Data WORDS: users, use, design, visualizations, interactive, volume, different, study, technique, time",Supporting Awareness through Collaborative Brushing and Linking of Tabular Data,0.0958475036142,0.0999730735799,0.10238026417,0.0985408337182,0.111224885723,0.0961041193111,0.104454420601,0.102508948255,0.0824429427807,0.106523008246,23
"TITLE: Identifying Redundancy and Exposing Provenance in Crowdsourced Data Analysis WORDS: users, use, design, visualizations, interactive, new, different, study, technique, time",Identifying Redundancy and Exposing Provenance in Crowdsourced Data Analysis,0.0964887759555,0.0859364098805,0.101365504001,0.0993954788336,0.0982659886992,0.0952544234812,0.0964143018461,0.0933904297873,0.104122442062,0.129366245454,24
"TITLE: The Impact of Physical Navigation on Spatial Organization for Sensemaking WORDS: users, use, design, visualizations, interactive, new, different, study, technique, time",The Impact of Physical Navigation on Spatial Organization for Sensemaking,0.110388593724,0.100222467128,0.0902648169757,0.0771476298391,0.106849011341,0.115903423827,0.0962792601323,0.0815440598682,0.103017537973,0.118383199192,25
"TITLE: Using Interactive Visual Reasoning to Support Sense-Making: Implications for Design WORDS: new, users, use, design, visualizations, interactive, novel, volume, used, space",Using Interactive Visual Reasoning to Support Sense-Making: Implications for Design,0.115242823836,0.0905465677473,0.0940158589271,0.0810891253273,0.112618288359,0.107114067305,0.0790630732042,0.10431434113,0.113118871779,0.102876982386,26
"TITLE: Temporal Event Sequence Simplification WORDS: new, users, use, design, visualizations, interactive, novel, space, large, different",Temporal Event Sequence Simplification,0.11862135268,0.118577053202,0.0933082228553,0.0816086330335,0.0932904055157,0.0879634442504,0.0913384796287,0.106322979153,0.106557492543,0.102411937138,27
"TITLE: Visual Analytics for Model Selection in Time Series Analysis WORDS: users, use, design, visualizations, interactive, different, study, technique, time, method",Visual Analytics for Model Selection in Time Series Analysis,0.0888353042038,0.108095867931,0.0945226270423,0.0888189536744,0.0981908276924,0.119346194676,0.0952778604623,0.106211070932,0.0736078128207,0.127093480566,28
"TITLE: TimeBench: A Data Model and Software Library for Visual Analytics of Time-Oriented Data WORDS: users, use, design, visualizations, interactive, used, different, study, technique, time",TimeBench: A Data Model and Software Library for Visual Analytics of Time-Oriented Data,0.123409055163,0.11387782672,0.0975992575554,0.105198134818,0.0872290330518,0.108650945294,0.0926571156476,0.0828481333673,0.0833468571008,0.105183641282,29
